name,type,company_name,registration_date,status
"IGOR SAMARDZISKI",directors,"CORE GAMING GROUP LTD",04/08/2014,NULL
"IGOR SAMARDZISKI",shareholders,"CORE GAMING GROUP LTD",04/08/2014,NULL
"IGOR SAMARDZISKI","legal representatives","CORE GAMING GROUP LTD",04/08/2014,NULL
"IGOR SAMARDZISKI","judicial representatives","CORE GAMING GROUP LTD",04/08/2014,NULL
"IGOR SAMARDZISKI",secretaries,"CORE GAMING GROUP LTD",04/08/2014,NULL
"BRANKO ZECEVIC",directors,"CENTRAZ FINANCE LIMITED",08/04/1998,NULL
"BRANKO ZECEVIC","judicial representatives","CENTRAZ FINANCE LIMITED",08/04/1998,NULL
"JOVAN DINIC",directors,"DOUGLAS SHIPPING AGENCY LIMITED",15/07/2003,NULL
"BOJAN MILISAVLJEVIC",directors,"DOUGLAS SHIPPING AGENCY LIMITED",15/07/2003,NULL
"SLADJAN KAMBEROVIC",directors,"ERA LIMITED",11/04/2011,"In Dissolution"
"SLADJAN KAMBEROVIC",shareholders,"ERA LIMITED",11/04/2011,"In Dissolution"
"SLADJAN KAMBEROVIC","legal representatives","ERA LIMITED",11/04/2011,"In Dissolution"
"SLADJAN KAMBEROVIC","judicial representatives","ERA LIMITED",11/04/2011,"In Dissolution"
"SLADJAN KAMBEROVIC",secretaries,"ERA LIMITED",11/04/2011,"In Dissolution"
"RAMIC NEBOJSA",directors,"GLOBUS TRADING LIMITED",21/12/2006,NULL
"JULIA VUCIC",directors,"GLOBUS TRADING LIMITED",21/12/2006,NULL
"JULIA VUCIC",shareholders,"GLOBUS TRADING LIMITED",21/12/2006,NULL
"RAMIC NEBOJSA","legal representatives","GLOBUS TRADING LIMITED",21/12/2006,NULL
"JULIA VUCIC","legal representatives","GLOBUS TRADING LIMITED",21/12/2006,NULL
"RAMIC NEBOJSA","judicial representatives","GLOBUS TRADING LIMITED",21/12/2006,NULL
"JULIA VUCIC","judicial representatives","GLOBUS TRADING LIMITED",21/12/2006,NULL
"LIDIJA PECOTIC",directors,"GESTALT PSYCHOTHERAPY TRAINING INSTITUTE (MALTA) LIMITED",12/05/1999,NULL
"LIDIJA PECOTIC",shareholders,"GESTALT PSYCHOTHERAPY TRAINING INSTITUTE (MALTA) LIMITED",12/05/1999,NULL
"LIDIJA PECOTIC","legal representatives","GESTALT PSYCHOTHERAPY TRAINING INSTITUTE (MALTA) LIMITED",12/05/1999,NULL
"LIDIJA PECOTIC","judicial representatives","GESTALT PSYCHOTHERAPY TRAINING INSTITUTE (MALTA) LIMITED",12/05/1999,NULL
"LIDIJA PECOTIC",secretaries,"GESTALT PSYCHOTHERAPY TRAINING INSTITUTE (MALTA) LIMITED",12/05/1999,NULL
"DRAGAN BOZIC",directors,"HYDROTECHNIKA BEOGRAD INTACO LIMITED",31/01/2003,NULL
"DRAGAN BOZIC",shareholders,"HYDROTECHNIKA BEOGRAD INTACO LIMITED",31/01/2003,NULL
"DRAGAN BOZIC","legal representatives","HYDROTECHNIKA BEOGRAD INTACO LIMITED",31/01/2003,NULL
"DRAGAN BOZIC","judicial representatives","HYDROTECHNIKA BEOGRAD INTACO LIMITED",31/01/2003,NULL
"DRAGAN BOZIC",secretaries,"HYDROTECHNIKA BEOGRAD INTACO LIMITED",31/01/2003,NULL
"ZDRAVKO MILOSEVIC",directors,"KOTOR OVERSEAS SHIPPING LTD",17/03/1992,NULL
"VANJA MILJKOVIC",directors,"KONAK COMPANY LTD.",23/07/2004,NULL
"VANJA MILJKOVIC",shareholders,"KONAK COMPANY LTD.",23/07/2004,NULL
"VANJA MILJKOVIC","legal representatives","KONAK COMPANY LTD.",23/07/2004,NULL
"VANJA MILJKOVIC","judicial representatives","KONAK COMPANY LTD.",23/07/2004,NULL
"VANJA MILJKOVIC",secretaries,"KONAK COMPANY LTD.",23/07/2004,NULL
"VLADIMIR PETROPOLJAC",directors,"KINGSTONE GROUP LIMITED",04/07/2012,NULL
"VLADIMIR PETROPOLJAC",shareholders,"KINGSTONE GROUP LIMITED",04/07/2012,NULL
"VLADIMIR PETROPOLJAC","legal representatives","KINGSTONE GROUP LIMITED",04/07/2012,NULL
"VLADIMIR PETROPOLJAC","judicial representatives","KINGSTONE GROUP LIMITED",04/07/2012,NULL
"IVANKA JOVANOVIC AXISA",shareholders,"KERBER SECURITY LTD",04/11/2005,NULL
"MILOS RADENKOVIC",directors,"LY-GRADJEVINAR COMPANY LIMITED",22/11/2000,NULL
"MILOS RADENKOVIC","judicial representatives","LY-GRADJEVINAR COMPANY LIMITED",22/11/2000,NULL
"DEJAN RADENKOVIC",secretaries,"LY-GRADJEVINAR COMPANY LIMITED",22/11/2000,NULL
"DUSAN RADOVIC",directors,"LUXURY PLANET LIMITED",20/08/1999,NULL
"DUSAN RADOVIC","legal representatives","LUXURY PLANET LIMITED",20/08/1999,NULL
"DUSAN RADOVIC","judicial representatives","LUXURY PLANET LIMITED",20/08/1999,NULL
"NADA DRAGOVIC",directors,"LOVCEN OVERSEAS SHIPPING LTD",23/04/1992,NULL
"VLADIMIR MILIC",directors,"LET'S SEE MALTA LIMITED",23/08/2013,NULL
"VLADIMIR MILIC",shareholders,"LET'S SEE MALTA LIMITED",23/08/2013,NULL
"VLADIMIR MILIC","legal representatives","LET'S SEE MALTA LIMITED",23/08/2013,NULL
"VLADIMIR MILIC","judicial representatives","LET'S SEE MALTA LIMITED",23/08/2013,NULL
"DRAGAN LAKOVIC",directors,"LAKI MARITIME LTD",26/07/2004,NULL
"GORAN BULATOVIC",shareholders,"LAKI MARITIME LTD",26/07/2004,NULL
"DRAGAN LAKOVIC",shareholders,"LAKI MARITIME LTD",26/07/2004,NULL
"GORDANA HISTOVIC SAMARDZISKI",directors,"MOZ-ART LIMITED",07/02/1997,NULL
"LJUPCO SAMARDZISKI",directors,"MOZ-ART LIMITED",07/02/1997,NULL
"GORDANA HISTOVIC SAMARDZISKI",shareholders,"MOZ-ART LIMITED",07/02/1997,NULL
"LJUPCO SAMARDZISKI",shareholders,"MOZ-ART LIMITED",07/02/1997,NULL
"LJUPCO SAMARDZISKI","legal representatives","MOZ-ART LIMITED",07/02/1997,NULL
"LJUPCO SAMARDZISKI","judicial representatives","MOZ-ART LIMITED",07/02/1997,NULL
"GORDANA HISTOVIC SAMARDZISKI",secretaries,"MOZ-ART LIMITED",07/02/1997,NULL
"ALEKSANDAR STAMATOVIC",directors,"MONTENEGRO MARITIME LTD",03/04/2002,NULL
"HEIDRUN STAMATOVIC",directors,"MONTENEGRO MARITIME LTD",03/04/2002,NULL
"ALEKSANDAR STAMATOVIC",shareholders,"MONTENEGRO MARITIME LTD",03/04/2002,NULL
"HEIDRUN STAMATOVIC",shareholders,"MONTENEGRO MARITIME LTD",03/04/2002,NULL
"ALEKSANDAR STAMATOVIC","judicial representatives","MONTENEGRO MARITIME LTD",03/04/2002,NULL
"HEIDRUN STAMATOVIC","judicial representatives","MONTENEGRO MARITIME LTD",03/04/2002,NULL
"PEDJA MILETIC",directors,"MONOLITH PRODUCTIONS LTD",17/12/2015,NULL
"PEDJA MILETIC",shareholders,"MONOLITH PRODUCTIONS LTD",17/12/2015,NULL
"PEDJA MILETIC","legal representatives","MONOLITH PRODUCTIONS LTD",17/12/2015,NULL
"PEDJA MILETIC","judicial representatives","MONOLITH PRODUCTIONS LTD",17/12/2015,NULL
"PEDJA MILETIC",secretaries,"MONOLITH PRODUCTIONS LTD",17/12/2015,NULL
"PEDJA MILETIC",directors,"MONOLITH LIMITED",11/03/2002,NULL
"PEDJA MILETIC",shareholders,"MONOLITH LIMITED",11/03/2002,NULL
"PEDJA MILETIC","legal representatives","MONOLITH LIMITED",11/03/2002,NULL
"PEDJA MILETIC","judicial representatives","MONOLITH LIMITED",11/03/2002,NULL
"PEDJA MILETIC",secretaries,"MONOLITH LIMITED",11/03/2002,NULL
"RATKO SCEPANOVIC",directors,"MERIDIANPROJECT COMPANY LIMITED",20/09/2000,NULL
"RATKO SCEPANOVIC","judicial representatives","MERIDIANPROJECT COMPANY LIMITED",20/09/2000,NULL
"RATKO SCEPANOVIC",secretaries,"MERIDIANPROJECT COMPANY LIMITED",20/09/2000,NULL
"SLOBODAN TRBOJEVIC",directors,"M.V. AVIATION HOLDINGS LIMITED",25/11/2002,NULL
"SLOBODAN TRBOJEVIC",secretaries,"M.V. AVIATION HOLDINGS LIMITED",25/11/2002,NULL
"RATKO PETRIC",directors,"NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"VESNA PETRIC",directors,"NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"RATKO PETRIC",shareholders,"NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"VESNA PETRIC",shareholders,"NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"RATKO PETRIC","legal representatives","NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"VESNA PETRIC","legal representatives","NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"RATKO PETRIC","judicial representatives","NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"VESNA PETRIC","judicial representatives","NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"VESNA PETRIC",secretaries,"NOVATECH MALTA COMPANY LIMITED",28/01/2010,NULL
"IGOR SAMARDZISKI",directors,"NEXUSTECH Limited",07/05/2014,NULL
"IGOR SAMARDZISKI",shareholders,"NEXUSTECH Limited",07/05/2014,NULL
"IGOR SAMARDZISKI","legal representatives","NEXUSTECH Limited",07/05/2014,NULL
"IGOR SAMARDZISKI","judicial representatives","NEXUSTECH Limited",07/05/2014,NULL
"IGOR SAMARDZISKI",secretaries,"NEXUSTECH Limited",07/05/2014,NULL
"ALEKSANDAR LALIC",directors,"NEWLINES LIMITED",29/04/2004,NULL
"ALEKSANDAR LALIC",shareholders,"NEWLINES LIMITED",29/04/2004,NULL
"ALEKSANDAR LALIC","legal representatives","NEWLINES LIMITED",29/04/2004,NULL
"ALEKSANDAR LALIC","judicial representatives","NEWLINES LIMITED",29/04/2004,NULL
"VLADIMIR MILOSEVIC",directors,"NAKI MARITIME LTD.",21/02/2002,"In Dissolution"
"NADA DRAGOVIC",directors,"OKTOIH OVERSEAS SHIPPING LTD",23/04/1992,NULL
"MIROSLAV POPOVIC",directors,"PLANET M LIMITED",17/09/2003,NULL
"MIROSLAV POPOVIC","judicial representatives","PLANET M LIMITED",17/09/2003,NULL
"ZEKA REXHEP",directors,"Rubikon-RB Limited",07/02/2008,NULL
"BUJAR DEMJAHA",shareholders,"Rubikon-RB Limited",07/02/2008,NULL
"ZEKA REXHEP",shareholders,"Rubikon-RB Limited",07/02/2008,NULL
"ZEKA REXHEP","legal representatives","Rubikon-RB Limited",07/02/2008,NULL
"ZEKA REXHEP","judicial representatives","Rubikon-RB Limited",07/02/2008,NULL
"ILIJA RNJAK",directors,"RNJAK COMPANY LTD",15/02/1996,NULL
"ILIJA RNJAK",shareholders,"RNJAK COMPANY LTD",15/02/1996,NULL
"MIROSLAV RNJAK",shareholders,"RNJAK COMPANY LTD",15/02/1996,NULL
"ILIJA RNJAK","legal representatives","RNJAK COMPANY LTD",15/02/1996,NULL
"ILIJA RNJAK","judicial representatives","RNJAK COMPANY LTD",15/02/1996,NULL
"MIROSLAV RNJAK",secretaries,"RNJAK COMPANY LTD",15/02/1996,NULL
"SINISA STANKOVIC",directors,"RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"RATKO PETRIC",shareholders,"RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"VESNA PETRIC",shareholders,"RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"SINISA STANKOVIC",shareholders,"RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"SINISA STANKOVIC","legal representatives","RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"SINISA STANKOVIC","judicial representatives","RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"SINISA STANKOVIC",secretaries,"RIS MALTA COMPANY LIMITED",20/03/2009,NULL
"BORO ZDRAVKOVIC",directors,"StellaPoker Ltd",07/02/2007,NULL
"BORO ZDRAVKOVIC",shareholders,"StellaPoker Ltd",07/02/2007,NULL
"BORO ZDRAVKOVIC","judicial representatives","StellaPoker Ltd",07/02/2007,NULL
"ZDRAVKO MILOSEVIC",directors,"SOUTH CROSS SHIPPING LTD",17/03/1992,NULL
"ZDRAVKO MILOSEVIC",directors,"SOUTH ADRIATIC BULK SHIPPING LTD",14/05/1992,NULL
"OLIVERA PARLIC",directors,"SONEX CHEMICALS LIMITED",06/01/1999,NULL
"VOJISLAV PARLIC",directors,"SONEX CHEMICALS LIMITED",06/01/1999,NULL
"OLIVERA PARLIC","judicial representatives","SONEX CHEMICALS LIMITED",06/01/1999,NULL
"VOJISLAV PARLIC","judicial representatives","SONEX CHEMICALS LIMITED",06/01/1999,NULL
"VOJISLAV PARLIC",secretaries,"SONEX CHEMICALS LIMITED",06/01/1999,NULL
"IGOR SAMARDZISKI",directors,"SOHZE DEVELOPMENTS LIMITED",04/08/2014,NULL
"IGOR SAMARDZISKI","legal representatives","SOHZE DEVELOPMENTS LIMITED",04/08/2014,NULL
"IGOR SAMARDZISKI","judicial representatives","SOHZE DEVELOPMENTS LIMITED",04/08/2014,NULL
